Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°),Iin (A),Zin (ohm),,","
Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°),Iin (A),Zin (ohm),,
10,29,0.17,27000,-3.8,6296296296,4605882353,,
50,298,0.17,27000,-3.99,6296296296,4732941176,,
100,295,0.17,27000,-4,6296296296,4685294118,,
500,291,168,27000,-3,6222222222,4676785714,,
1000,292,168,27000,-4,6222222222,4692857143,,
10000,293,167,27000,-4,6185185185,4737125749,,
20000,293,167,27000,-3,6185185185,4737125749,,
50000,296,168,27000,-5.4,6222222222,4757142857,,
100000,295,1688,27000,-7.4,6251851852,4718601896,,
120000,295,1688,27000,-9,6251851852,4718601896,,
200000,294,1693,27000,-10.6,627037037,4688718252,,
300000,288,0.17,27000,-15,6296296296,4574117647,,
500000,277,162,27000,-22,6,4616666667,,
700000,277,1763,27000,-28.9,652962963,4242200794,,
800000,27,1774,27000,-30.3,657037037,4109357384,,
900000,263,1786,27000,-31.66,6614814815,3975923852,,
1000000,254,1801,27000,-34.9,667037037,3807884509,,
1500000,222,1847,27000,-40.2,6840740741,3245262588,,