Freq.,z amp DB,fase,zin no db
,,,
1.00E+01,1.01830218680041e+002,1.79994654182454e+002,123455.6397
1.26E+01,1.01830218657922e+002,1.79993270014456e+002,123455.6393
1.58E+01,1.01830218622866e+002,1.79991527450200e+002,123455.6388
2.00E+01,1.01830218567306e+002,1.79989333691800e+002,123455.6381
2.51E+01,1.01830218479248e+002,1.79986571913647e+002,123455.6368
3.16E+01,1.01830218339687e+002,1.79983095041040e+002,123455.6348
3.98E+01,1.01830218118497e+002,1.79978717917941e+002,123455.6317
5.01E+01,1.01830217767935e+002,1.79973207446802e+002,123455.6267
6.31E+01,1.01830217212331e+002,1.79966270175370e+002,123455.6188
7.94E+01,1.01830216331759e+002,1.79957536669508e+002,123455.6063
1.00E+02,1.01830214936147e+002,1.79946541839902e+002,123455.5864
1.26E+02,1.01830212724251e+002,1.79932700175212e+002,123455.555
1.58E+02,1.01830209218634e+002,1.79915274563165e+002,123455.5052
2.00E+02,1.01830203662612e+002,1.79893337040034e+002,123455.4262
2.51E+02,1.01830194856925e+002,1.79865719379970e+002,123455.301
3.16E+02,1.01830180900889e+002,1.79830950896238e+002,123455.1027
3.98E+02,1.01830158782154e+002,1.79787180148783e+002,123454.7883
5.01E+02,1.01830123726551e+002,1.79732076402152e+002,123454.2901
6.31E+02,1.01830068167745e+002,1.79662705612783e+002,123453.5004
7.94E+02,1.01829980114428e+002,1.79575374394870e+002,123452.2489
1.00E+03,1.01829840562982e+002,1.79465433761811e+002,123450.2655
1.26E+03,1.01829619398029e+002,1.79327032403971e+002,123447.1221
1.58E+03,1.01829268898270e+002,1.79152806787145e+002,123442.1408
2.00E+03,1.01828713451526e+002,1.78933492412148e+002,123434.2472
2.51E+03,1.01827833273251e+002,1.78657437215355e+002,123421.7397
3.16E+03,1.01826438649993e+002,1.78309994545946e+002,123401.9244
3.98E+03,1.01824229238037e+002,1.77872770055718e+002,123370.5389
5.01E+03,1.01820729856837e+002,1.77322695624814e+002,123320.8453
6.31E+03,1.01815189480697e+002,1.76630907203246e+002,123242.209
7.94E+03,1.01806423028532e+002,1.75761418453438e+002,123117.8865
1.00E+04,1.01792565283984e+002,1.74669620650396e+002,122921.6169
1.26E+04,1.01770692414944e+002,1.73300724587746e+002,122612.4642
1.58E+04,1.01736250337648e+002,1.71588433217474e+002,122127.2328
2.00E+04,1.01682216737188e+002,1.69454459676217e+002,121369.8561
2.51E+04,1.01597932948376e+002,1.66810066885331e+002,120197.8356
3.16E+04,1.01467614913263e+002,1.63561642099961e+002,118407.9182
3.98E+04,1.01268765383350e+002,1.59623228374368e+002,115727.9524
5.01E+04,1.00971150656649e+002,1.54939021718616e+002,111829.796
6.31E+04,1.00537636946960e+002,1.49516040391876e+002,106385.3551
7.94E+04,9.99285262305479e+001,1.43459041092299e+002,99180.50415
1.00E+05,9.91100078662061e+001,1.36987993559635e+002,90261.05249
1.26E+05,9.80642975416923e+001,1.30414945041728e+002,80023.00891
1.58E+05,9.67960082750317e+001,1.24076858017960e+002,69151.31031
2.00E+05,9.53304315911008e+001,1.18255051549530e+002,58414.62319
2.51E+05,9.37049527558409e+001,1.13123799481372e+002,48444.85248
3.16E+05,9.19590565774926e+001,1.08745548700820e+002,39623.49946
3.98E+05,9.01274508718048e+001,1.05098392459416e+002,32090.20885
5.01E+05,8.82373388479611e+001,1.02111835833507e+002,25814.69168
6.31E+05,8.63085930382250e+001,9.96956135309517e+001,20674.24468
7.94E+05,8.43552258001938e+001,9.77570209656047e+001,16510.54047
1.00E+06,8.23869202171862e+001,9.62077999931093e+001,13162.73115
1.26E+06,8.04096703205516e+001,9.49660131626486e+001,10482.95004
1.58E+06,7.84259656999256e+001,9.39634996445126e+001,8342.539757
2.00E+06,7.64366981845614e+001,9.31540852554764e+001,6634.90806
2.51E+06,7.44432018529844e+001,9.25054529700803e+001,5274.242484
3.16E+06,7.24470180876923e+001,9.19890026379855e+001,4191.320817
3.98E+06,7.04492668490532e+001,9.15789485565309e+001,3330.146523
5.01E+06,6.84506135178133e+001,9.12535941189604e+001,2645.63956
6.31E+06,6.64514328562365e+001,9.09954230042246e+001,2101.704445
7.94E+06,6.44519374538828e+001,9.07905099247859e+001,1669.540169
1.00E+07,6.24522508569063e+001,9.06278293796366e+001,1326.210747
1.26E+07,6.04524466098420e+001,9.04986539459169e+001,1053.470383
1.58E+07,5.84525693270255e+001,9.03960701930188e+001,836.8130924
2.00E+07,5.64526464396075e+001,9.03145972469972e+001,664.7101677
2.51E+07,5.44526949681787e+001,9.02498871835034e+001,528.0010041
3.16E+07,5.24527255373844e+001,9.01984892815024e+001,419.4075816
3.98E+07,5.04527448052387e+001,9.01576640516881e+001,333.1480229
5.01E+07,4.84527569544654e+001,9.01252362105049e+001,264.6292511
6.31E+07,4.64527646169370e+001,9.00994782580704e+001,210.2026713
7.94E+07,4.44527694503669e+001,9.00790181885784e+001,166.9700097
1.00E+08,4.24527724995521e+001,9.00627662777005e+001,132.6290397